backend,operation,median_ns,mean_ns,stddev_ns,p95_ns,p99_ns
A,kem_keygen,24191,27590,17878,46743,119317
A,kem_encaps,24287,35059,91240,57731,364600
A,kem_decaps,21107,22769,11119,45877,58502
A,sig_keygen,58116,75262,113494,126449,244609
A,sig_sign,135027,169383,109931,376359,664627
A,sig_verify,56189,60014,17198,82982,111124
A,aead_encrypt_1k,2988,3663,1866,5012,8482
A,aead_decrypt_1k,4626,5001,1589,7229,12626
A,handshake_synth,480255,520154,158838,842060,1057852
B,kem_keygen,6631011,7308372,2638078,10977066,17035415
B,kem_encaps,14198564,15032700,3272989,21139414,29953723
B,kem_decaps,20101574,20948112,3904743,28642549,33844031
B,sig_keygen,37414654,39227991,5998007,51934799,61816319
B,sig_sign,348336743,365438953,48979781,478054106,539676249
B,sig_verify,457781,466804,70454,602713,754569
B,aead_encrypt_1k,2308,2472,2098,2501,10387
B,aead_decrypt_1k,3174,3885,3736,4424,22408
B,handshake_synth,738501999,771269267,89990858,965144996,1051283763
